date,arrivals,search_trends,log_arrivals,log_search_trends,time_idx,diff_1,covid_dummy,lag_1,lag_3,lag_6,lag_12,lag_24,roll_mean_3,roll_mean_6,roll_mean_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2011-10-01,518477,64,13.158652875664748,4.174387269895637,21,0.5927437889988312,0,12.565909086665917,13.038983942375959,13.038983942375959,12.994693628871111,,12.942207329447923,12.993205595056681,13.027052721115325,False,False,False,False,False,False,False,False,True,False,False
2011-11-01,611864,68,13.324266948926006,4.23410650459726,22,0.1656140732612581,0,13.158652875664748,13.221728959301892,13.083387594253246,12.96756982431166,,12.982096973877518,13.013150417271477,13.040715991681461,False,False,False,False,False,False,False,False,False,True,False
2011-12-01,593408,62,13.293639153559031,4.143134726391533,23,-0.030627795366974908,0,13.324266948926006,12.565909086665917,13.010240045367114,13.01604907370193,,13.016276303752223,13.053296976383606,13.07044075206599,False,False,False,False,False,False,False,False,False,False,True
2012-01-01,630000,71,13.353476685668044,4.276666119016055,24,0.05983753210901277,0,13.293639153559031,13.158652875664748,13.038983942375959,13.135131516682007,12.939041320276791,13.258852992716593,13.10053016108226,13.093573258720747,False,False,False,False,False,False,False,False,False,False,False
2012-02-01,681849,66,13.43256497128598,4.204692619390966,25,0.0790882856179369,0,13.353476685668044,13.324266948926006,13.221728959301892,13.179340885993021,13.008800424658851,13.323794262717692,13.152945618297606,13.111768689469585,True,False,False,False,False,False,False,False,False,False,False
2012-03-01,561877,59,13.23904002345962,4.0943445622221,26,-0.19352494782636143,0,13.43256497128598,13.293639153559031,12.565909086665917,13.072614153484082,13.067928310709442,13.359893603504352,13.18808495362829,13.13287069657733,False,True,False,False,False,False,False,False,False,False,False
2012-04-01,620000,60,13.3374763699232,4.110873864173311,27,0.0984363464635809,0,13.23904002345962,13.353476685668044,13.158652875664748,13.038983942375959,12.977589596722966,13.341693893471215,13.300273443093905,13.146739519075295,False,False,True,False,False,False,False,False,False,False,False
2012-05-01,615523,61,13.33022921653532,4.127134385045092,28,-0.0072471533878797345,0,13.3374763699232,13.43256497128598,13.324266948926006,13.083387594253246,12.768493068226652,13.3363604548896,13.330077358803647,13.171613888037562,False,False,False,True,False,False,False,False,False,False,False
2012-06-01,417429,61,12.941872144545096,4.127134385045092,29,-0.3883570719902245,0,13.33022921653532,13.23904002345962,13.293639153559031,13.010240045367114,12.836567524920662,13.30224853663938,13.331071070071864,13.192184023227734,False,False,False,False,True,False,False,False,False,False,False
2012-07-01,466000,66,13.051943059028227,4.204692619390966,30,0.11007091448313133,0,12.941872144545096,13.3374763699232,13.353476685668044,13.038983942375959,12.923914877701906,13.203192577001206,13.27244323523621,13.186486698159234,False,False,False,False,False,True,False,False,False,False,False
2012-08-01,525292,63,13.171711481134627,4.1588830833596715,31,0.11976842210640015,0,13.051943059028227,13.33022921653532,13.43256497128598,13.221728959301892,12.966728930672524,13.108014806702881,13.222187630796242,13.187566624546923,False,False,False,False,False,False,True,False,False,False,False
